"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros"
"*0311c*","Devin Williams","MIL","RP","115","ALEC","29","@NYM Thu 10:10AM","18.00","2025","411.5","7.09","100%","90.79","96%"
"*041xv*","Nathaniel Lowe","TEX","1B","116","TED","28","CHC Thu 4:35PM","18.00","2025","411","2.69","100%","143.79","95%"
"*02xic*","Teoscar Hernandez","(N/A)","OF","117","HENRY","31","","21.00","2025","410.5","2.74","100%","147.2","93%"
"*01s94*","Lance Lynn","STL","SP","118","FA","36","@LAD Thu 1:10PM","11.00","2023","409.5","13.21","99%","247.52","87%"
"*04nx3*","Jonathan India","CIN","2B","119","HENRY","27","WSH Thu 1:10PM","38.00","2026","409","2.92","100%","165.33","96%"
"*03qr0*","Cedric Mullins","BAL","OF","120","TONY","29","LAA Thu 12:05PM","33.00","2025","409","2.88","100%","108.32","96%"
"*01fha*","Kyle Gibson","STL","SP","121","KYLE","36","@LAD Thu 1:10PM","20.00","2025","407.5","12.73","97%","321.88","78%"
"*04pn3*","Josiah Gray","WSH","SP","122","HENRY","26","@CIN Thu 1:10PM","17.00","2024","407","13.13","98%","292.52","90%"
"*04aeb*","Royce Lewis","MIN","3B,SS","123","CA$H","24","@KC Thu 1:10PM","11.00","2025","407","3.51","100%","68.93","96%"
"*04psu*","James Outman","LAD","OF","124","FA","26","STL Thu 1:10PM","11.00","2023","406.5","2.73","100%","163.25","95%"
"*01ut7*","Nathan Eovaldi","TEX","SP","125","FA","33","CHC Thu 4:35PM","11.00","2023","406","15.04","100%","150.97","96%"
"*03de9*","Rhys Hoskins","(N/A)","1B","126","FA","30","","11.00","2023","406","2.92","100%","168.02","93%"
"*03qqf*","Alexis Diaz","CIN","RP","127","ROLLS","27","WSH Thu 1:10PM","18.00","2025","403.5","5.76","100%","134.41","96%"
"*026lz*","Josh Bell","MIA","1B","128","JOHN","31","PIT Thu 1:10PM","17.00","2024","402.5","2.67","98%","265.89","83%"
"*03yrz*","William Contreras","MIL","C","129","ALEC","26","@NYM Thu 10:10AM","23.00","2026","402.5","2.83","100%","87.8","96%"
"*02h9r*","Miles Mikolas","STL","SP","130","JENKS","35","@LAD Thu 1:10PM","18.00","2025","402.5","12.58","93%","329.55","74%"
"*05aoc*","Eury Perez","MIA","SP","131","JOHN","20","PIT Thu 1:10PM","14.00","2026","402","14.89","100%","80.32","96%"
"*0310z*","J.P. Crawford","SEA","SS","132","NASER","28","BOS Thu 7:10PM","32.00","2027","401.5","2.73","100%","193.26","92%"
"*0596g*","Reid Detmers","LAA","SP","133","ALEC","24","@BAL Thu 12:05PM","23.00","2026","401.5","13.38","99%","201.34","95%"
"*04pst*","Jarren Duran","BOS","OF","134","FA","27","@SEA Thu 7:10PM","11.00","2023","401.5","2.69","97%","211.22","93%"
"*03atq*","Willy Adames","MIL","SS","135","LANG","28","@NYM Thu 10:10AM","18.00","2025","400.5","2.65","100%","160.81","94%"
"*04ee7*","Clarke Schmidt","NYY","SP","136","FA","27","@HOU Thu 1:00AM","11.00","2023","400.5","12.92","93%","300.61","88%"
"*05rc3*","Masataka Yoshida","BOS","OF","137","NASER","30","@SEA Thu 7:10PM","25.00","2026","400","2.94","100%","165.42","94%"
"*04aea*","Hunter Greene","CIN","SP","138","CA$H","24","WSH Thu 1:10PM","42.00","2028","399.5","14.27","100%","118.76","96%"
"*029si*","Eduardo Rodriguez","ARI","SP","139","LANG","30","COL Thu 1:00AM","24.00","2025","399.5","14.8","100%","153.46","96%"
"*01c5l*","Yu Darvish","SD","SP","140","FA","37","SF Thu 1:10PM","11.00","2023","398.5","14.23","99%","171.78","93%"
"*04p10*","Bryson Stott","PHI","2B,SS","141","MURPH","26","ATL Thu 12:05PM","38.00","2027","397.5","2.6","100%","111.34","96%"
"*04b02*","Seiya Suzuki","CHC","OF","142","JOEY","29","@TEX Thu 4:35PM","18.00","2025","396","2.81","100%","119.72","96%"
"*03aqv*","Raisel Iglesias","ATL","RP","143","KYLE","33","@PHI Thu 12:05PM","14.00","2024","395","6.93","100%","145.4","95%"
"*03120*","Cody Bellinger","(N/A)","1B,OF","144","JOEY","28","","14.00","2024","394.5","2.99","100%","60.08","96%"
"*04efa*","Daulton Varsho","TOR","OF","145","ROLLS","27","@TB Thu 1:10PM","45.00","2028","394.5","2.55","100%","199.33","92%"
"*05mdt*","Evan Carter","TEX","OF","146","LANG","21","CHC Thu 4:35PM","19.00","2028","393.5","3.25","100%","93.81","98%"
"*03whq*","Ty France","SEA","1B","147","ROLLS","29","BOS Thu 7:10PM","23.00","2025","393.5","2.62","98%","313.4","83%"
"*05jp9*","Bryce Elder","ATL","SP","148","NASER","24","@PHI Thu 12:05PM","25.00","2025","393","12.28","98%","279.94","90%"
"*05vy6*","Bryce Miller","SEA","SP","149","FA","25","BOS Thu 7:10PM","11.00","2023","393","13.1","100%","168.08","95%"
"*03di6*","Jordan Romano","TOR","RP","150","JOEY","30","@TB Thu 1:10PM","23.00","2026","393","6.34","100%","145.6","95%"
"*051dl*","Edouard Julien","MIN","2B","151","NASER","24","@KC Thu 1:10PM","11.00","2026","392","2.93","100%","209.08","94%"
"*027fx*","Jeimer Candelario","CIN","1B,3B","152","FA","30","WSH Thu 1:10PM","11.00","2023","391.5","2.82","97%","244.01","90%"
"*045gu*","TJ Friedl","CIN","OF","153","JOEY","28","WSH Thu 1:10PM","38.00","2026","391","2.73","100%","146.3","96%"
"*05gwz*","Bobby Miller","LAD","SP","154","MDS","24","STL Thu 1:10PM","14.00","2026","389.5","14.98","100%","87.94","96%"
"*01lum*","Justin Turner","(N/A)","1B","155","FA","39","","11.00","2023","389.5","2.78","100%","242.58","90%"
"*041ah*","Josh Lowe","TB","OF","156","FA","25","TOR Thu 1:10PM","11.00","2023","389","2.92","100%","100.88","96%"
"*05xor*","Christian Encarnacion-Strand","CIN","1B","157","FA","24","WSH Thu 1:10PM","11.00","2023","388.5","2.99","100%","126.69","96%"
"*03pjd*","Josh Naylor","CLE","1B","158","TED","26","@OAK Thu 7:07PM","38.00","2027","388.5","3.11","100%","134.08","96%"
